title,ingredients,directions,ingredients_clean,directions_clean,vegetarian
Double Cherry Delight,"[""1 (17 oz.) can dark sweet pitted cherries"", ""1/2 c. ginger ale"", ""1 (6 oz.) pkg. Jell-O cherry flavor gelatin"", ""2 c. boiling water"", ""1/8 tsp. almond extract"", ""1 c. miniature marshmallows""]","[""Drain cherries, measuring syrup."", ""Cut cherries in half."", ""Add ginger ale and enough water to syrup to make 1 1/2 cups."", ""Dissolve gelatin in boiling water."", ""Add measured liquid and almond extract. Chill until very thick."", ""Fold in marshmallows and the cherries. Spoon into 6-cup mold."", ""Chill until firm, at least 4 hours or overnight."", ""Unmold."", ""Makes about 5 1/3 cups.""]","1 (17 oz.) can dark sweet pitted cherries"", ""1/2 c. ginger ale"", ""1 (6 oz.) pkg. Jell-O cherry flavor gelatin"", ""2 c. boiling water"", ""1/8 tsp. almond extract"", ""1 c. miniature marshmallows","Drain cherries, measuring syrup."", ""Cut cherries in half."", ""Add ginger ale and enough water to syrup to make 1 1/2 cups."", ""Dissolve gelatin in boiling water."", ""Add measured liquid and almond extract. Chill until very thick."", ""Fold in marshmallows and the cherries. Spoon into 6-cup mold."", ""Chill until firm, at least 4 hours or overnight."", ""Unmold."", ""Makes about 5 1/3 cups.",True
Buckeye Candy,"[""1 box powdered sugar"", ""8 oz. soft butter"", ""1 (8 oz.) peanut butter"", ""paraffin"", ""12 oz. chocolate chips""]","[""Mix sugar, butter and peanut butter."", ""Roll into balls and place on cookie sheet."", ""Set in freezer for at least 30 minutes. Melt chocolate chips and paraffin in double boiler."", ""Using a toothpick, dip balls 3/4 of way into chocolate chip and paraffin mixture to make them look like buckeyes.""]","1 box powdered sugar"", ""8 oz. soft butter"", ""1 (8 oz.) peanut butter"", ""paraffin"", ""12 oz. chocolate chips","Mix sugar, butter and peanut butter."", ""Roll into balls and place on cookie sheet."", ""Set in freezer for at least 30 minutes. Melt chocolate chips and paraffin in double boiler."", ""Using a toothpick, dip balls 3/4 of way into chocolate chip and paraffin mixture to make them look like buckeyes.",True
Quick Barbecue Wings,"[""chicken wings (as many as you need for dinner)"", ""flour"", ""barbecue sauce (your choice)""]","[""Clean wings."", ""Flour and fry until done."", ""Place fried chicken wings in microwave bowl."", ""Stir in barbecue sauce."", ""Microwave on High (stir once) for 4 minutes.""]","chicken wings (as many as you need for dinner)"", ""flour"", ""barbecue sauce (your choice)","Clean wings."", ""Flour and fry until done."", ""Place fried chicken wings in microwave bowl."", ""Stir in barbecue sauce."", ""Microwave on High (stir once) for 4 minutes.",False
Taco Salad Chip Dip,"[""8 oz. Ortega taco sauce"", ""8 oz. sour cream"", ""8 oz. cream cheese"", ""1 lb. ground beef"", ""1 pkg. taco seasoning"", ""shredded lettuce"", ""1 large diced tomato"", ""1 medium diced onion"", ""1 large diced green pepper"", ""shredded Colby or Cheddar cheese""]","[""Mix taco sauce, sour cream and cream cheese."", ""Spread on pizza pan."", ""Brown meat."", ""Drain off fat and add taco seasoning."", ""Spread over cream mixture."", ""Layer with raw vegetables."", ""Top with cheese. Serve with chips.""]","8 oz. Ortega taco sauce"", ""8 oz. sour cream"", ""8 oz. cream cheese"", ""1 lb. ground beef"", ""1 pkg. taco seasoning"", ""shredded lettuce"", ""1 large diced tomato"", ""1 medium diced onion"", ""1 large diced green pepper"", ""shredded Colby or Cheddar cheese","Mix taco sauce, sour cream and cream cheese."", ""Spread on pizza pan."", ""Brown meat."", ""Drain off fat and add taco seasoning."", ""Spread over cream mixture."", ""Layer with raw vegetables."", ""Top with cheese. Serve with chips.",False
Pink Stuff(Frozen Dessert)  ,"[""1 can pie filling (cherry or strawberry)"", ""1 can crushed pineapple, drained"", ""1 can sweetened condensed milk"", ""1 (8 oz.) container thawed whipped topping"", ""2 Tbsp. lemon juice""]","[""Mix all ingredients together."", ""Pour into a 9 x 13-inch pan. Freeze until firm."", ""Allow to set out approximately 15 minutes before serving.""]","1 can pie filling (cherry or strawberry)"", ""1 can crushed pineapple, drained"", ""1 can sweetened condensed milk"", ""1 (8 oz.) container thawed whipped topping"", ""2 Tbsp. lemon juice","Mix all ingredients together."", ""Pour into a 9 x 13-inch pan. Freeze until firm."", ""Allow to set out approximately 15 minutes before serving.",True
Fresh Strawberry Pie,"[""1 baked pie shell"", ""1 qt. cleaned strawberries"", ""1 1/2 c. water"", ""4 Tbsp. cornstarch"", ""1 c. sugar"", ""1/8 tsp. salt"", ""4 Tbsp. strawberry jello""]","[""Mix water, cornstarch, sugar and salt in saucepan."", ""Stir constantly and boil until thick and clear."", ""Remove from heat and stir in jello."", ""Set aside to cool."", ""But don't allow it to set. Layer strawberries in baked crust."", ""Pour cooled glaze over. Continue layering berries and glaze."", ""Refrigerate."", ""Serve with whipped cream.""]","1 baked pie shell"", ""1 qt. cleaned strawberries"", ""1 1/2 c. water"", ""4 Tbsp. cornstarch"", ""1 c. sugar"", ""1/8 tsp. salt"", ""4 Tbsp. strawberry jello","Mix water, cornstarch, sugar and salt in saucepan."", ""Stir constantly and boil until thick and clear."", ""Remove from heat and stir in jello."", ""Set aside to cool."", ""But don't allow it to set. Layer strawberries in baked crust."", ""Pour cooled glaze over. Continue layering berries and glaze."", ""Refrigerate."", ""Serve with whipped cream.",True
Easy German Chocolate Cake,"[""1/2 pkg. chocolate fudge cake mix without pudding or 1 Jiffy mix"", ""1/2 pkg. white cake mix without pudding or 1 Jiffy mix"", ""1/4 c. Wesson oil""]","[""Mix according to directions and add oil."", ""Bake in 9 x 13-inch pan.""]","1/2 pkg. chocolate fudge cake mix without pudding or 1 Jiffy mix"", ""1/2 pkg. white cake mix without pudding or 1 Jiffy mix"", ""1/4 c. Wesson oil","Mix according to directions and add oil."", ""Bake in 9 x 13-inch pan.",True
Broccoli Salad,"[""1 large head broccoli (about 1 1/2 lb.)"", ""10 slices bacon, cooked and crumbled"", ""5 green onions, sliced or 1/4 c. chopped red onion"", ""1/2 c. raisins"", ""1 c. mayonnaise"", ""2 Tbsp. vinegar"", ""1/4 c. sugar""]","[""Trim off large leaves of broccoli and remove the tough ends of lower stalks. Wash the broccoli thoroughly. Cut the florets and stems into bite-size pieces. Place in a large bowl. Add bacon, onions and raisins. Combine remaining ingredients, stirring well. Add dressing to broccoli mixture and toss gently. Cover and refrigerate 2 to 3 hours. Makes about 6 servings.""]","1 large head broccoli (about 1 1/2 lb.)"", ""10 slices bacon, cooked and crumbled"", ""5 green onions, sliced or 1/4 c. chopped red onion"", ""1/2 c. raisins"", ""1 c. mayonnaise"", ""2 Tbsp. vinegar"", ""1/4 c. sugar","Trim off large leaves of broccoli and remove the tough ends of lower stalks. Wash the broccoli thoroughly. Cut the florets and stems into bite-size pieces. Place in a large bowl. Add bacon, onions and raisins. Combine remaining ingredients, stirring well. Add dressing to broccoli mixture and toss gently. Cover and refrigerate 2 to 3 hours. Makes about 6 servings.",False
Strawberry Whatever,"[""1 lb. frozen strawberries in juice"", ""1 small can crushed pineapple"", ""3 ripe bananas"", ""1 c. chopped pecans"", ""1 large pkg. strawberry Jell-O"", ""1 1/2 c. boiling water"", ""1 pt. sour cream""]","[""Mix Jell-O in boiling water."", ""Add strawberries, pineapple, crushed bananas and nuts."", ""Spread 1/2 mixture in 13 x 6 1/2-inch pan."", ""Allow to gel in freezer 30 minutes."", ""Add layer of sour cream, then remaining mixture on top."", ""Gel and serve.""]","1 lb. frozen strawberries in juice"", ""1 small can crushed pineapple"", ""3 ripe bananas"", ""1 c. chopped pecans"", ""1 large pkg. strawberry Jell-O"", ""1 1/2 c. boiling water"", ""1 pt. sour cream","Mix Jell-O in boiling water."", ""Add strawberries, pineapple, crushed bananas and nuts."", ""Spread 1/2 mixture in 13 x 6 1/2-inch pan."", ""Allow to gel in freezer 30 minutes."", ""Add layer of sour cream, then remaining mixture on top."", ""Gel and serve.",True
Eggless Milkless Applesauce Cake,"[""3/4 c. sugar"", ""1/2 c. shortening"", ""1 1/2 c. applesauce"", ""3 level tsp. soda"", ""1 tsp. each: cinnamon, cloves and nutmeg"", ""2 c. sifted flour"", ""1 c. raisins"", ""1 c. nuts""]","[""Mix Crisco with applesauce, nuts and raisins."", ""Sift dry ingredients and add."", ""Mix well."", ""Put in a greased and floured loaf pan or tube pan."", ""Bake in loaf pan at 350\u00b0 to 375\u00b0 for 45 to 60 minutes, layer pan at 375\u00b0 for 20 minutes or tube pan at 325\u00b0 for 1 hour.""]","3/4 c. sugar"", ""1/2 c. shortening"", ""1 1/2 c. applesauce"", ""3 level tsp. soda"", ""1 tsp. each: cinnamon, cloves and nutmeg"", ""2 c. sifted flour"", ""1 c. raisins"", ""1 c. nuts","Mix Crisco with applesauce, nuts and raisins."", ""Sift dry ingredients and add."", ""Mix well."", ""Put in a greased and floured loaf pan or tube pan."", ""Bake in loaf pan at 350\u00b0 to 375\u00b0 for 45 to 60 minutes, layer pan at 375\u00b0 for 20 minutes or tube pan at 325\u00b0 for 1 hour.",True
"Grandma Hanrath's Banana Breadfort Collins, Colorado  ","[""1 c. sugar"", ""1/2 c. shortening"", ""2 eggs (add one at a time)"", ""1 tsp. salt"", ""2 tsp. soda"", ""2 c. flour"", ""1/4 c. nuts"", ""2 over-ripe bananas (chopped)""]","[""Cream sugar and shortening."", ""Add eggs, salt and soda, then bananas and flour."", ""Add nuts."", ""Mix well."", ""Bake in loaf pan at 350\u00b0 for 1 hour.""]","1 c. sugar"", ""1/2 c. shortening"", ""2 eggs (add one at a time)"", ""1 tsp. salt"", ""2 tsp. soda"", ""2 c. flour"", ""1/4 c. nuts"", ""2 over-ripe bananas (chopped)","Cream sugar and shortening."", ""Add eggs, salt and soda, then bananas and flour."", ""Add nuts."", ""Mix well."", ""Bake in loaf pan at 350\u00b0 for 1 hour.",True
Chocolate Frango Mints,"[""1 pkg. devil's food cake mix"", ""1 pkg. chocolate fudge pudding mix (instant)"", ""8 oz. sour cream"", ""3/4 c. water"", ""1/2 c. Wesson oil"", ""4 eggs"", ""6 oz. chopped Frango mints""]","[""Mix ingredients together for 5 minutes."", ""Scrape bowl often. Last fold in chocolate chip mints."", ""Bake at 350\u00b0 for 35 to 40 minutes or until done (cake mix directions).""]","1 pkg. devil's food cake mix"", ""1 pkg. chocolate fudge pudding mix (instant)"", ""8 oz. sour cream"", ""3/4 c. water"", ""1/2 c. Wesson oil"", ""4 eggs"", ""6 oz. chopped Frango mints","Mix ingredients together for 5 minutes."", ""Scrape bowl often. Last fold in chocolate chip mints."", ""Bake at 350\u00b0 for 35 to 40 minutes or until done (cake mix directions).",True
Cuddy Farms Marinated Turkey,"[""2 c. 7-Up or Sprite"", ""1 c. vegetable oil"", ""1 c. Kikkoman soy sauce"", ""garlic salt""]","[""Buy whole turkey breast; remove all skin and bones. Cut into pieces about the size of your hand. Pour marinade over turkey and refrigerate for at least 8 hours (up to 48 hours). The longer it marinates, the less cooking time it takes.""]","2 c. 7-Up or Sprite"", ""1 c. vegetable oil"", ""1 c. Kikkoman soy sauce"", ""garlic salt","Buy whole turkey breast; remove all skin and bones. Cut into pieces about the size of your hand. Pour marinade over turkey and refrigerate for at least 8 hours (up to 48 hours). The longer it marinates, the less cooking time it takes.",True
Spaghetti Sauce To Can,"[""1/2 bushel tomatoes"", ""1 c. oil"", ""1/4 c. minced garlic"", ""6 cans tomato paste"", ""3 peppers (2 sweet and 1 hot)"", ""1 1/2 c. sugar"", ""1/2 c. salt"", ""1 Tbsp. sweet basil"", ""2 Tbsp. oregano"", ""1 tsp. Italian seasoning""]","[""Cook ground or chopped peppers and onions in oil for 1/2 hour. Cook tomatoes and garlic as for juice."", ""Put through the mill."", ""(I use a food processor and do my tomatoes uncooked."", ""I then add the garlic right to the juice.)"", ""Add peppers and onions to juice and remainder of ingredients."", ""Cook approximately 1 hour."", ""Put in jars and seal."", ""Yields 7 quarts.""]","1/2 bushel tomatoes"", ""1 c. oil"", ""1/4 c. minced garlic"", ""6 cans tomato paste"", ""3 peppers (2 sweet and 1 hot)"", ""1 1/2 c. sugar"", ""1/2 c. salt"", ""1 Tbsp. sweet basil"", ""2 Tbsp. oregano"", ""1 tsp. Italian seasoning","Cook ground or chopped peppers and onions in oil for 1/2 hour. Cook tomatoes and garlic as for juice."", ""Put through the mill."", ""(I use a food processor and do my tomatoes uncooked."", ""I then add the garlic right to the juice.)"", ""Add peppers and onions to juice and remainder of ingredients."", ""Cook approximately 1 hour."", ""Put in jars and seal."", ""Yields 7 quarts.",True
Prize-Winning Meat Loaf,"[""1 1/2 lb. ground beef"", ""1 c. tomato juice"", ""3/4 c. oats (uncooked)"", ""1 egg, beaten"", ""1/4 c. chopped onion"", ""1/4 tsp. pepper"", ""1 1/2 tsp. salt""]","[""Mix well."", ""Press firmly into an 8 1/2 x 4 1/2 x 2 1/2-inch loaf pan."", ""Bake in preheated moderate oven."", ""Bake at 350\u00b0 for 1 hour."", ""Let stand 5 minutes before slicing."", ""Makes 8 servings.""]","1 1/2 lb. ground beef"", ""1 c. tomato juice"", ""3/4 c. oats (uncooked)"", ""1 egg, beaten"", ""1/4 c. chopped onion"", ""1/4 tsp. pepper"", ""1 1/2 tsp. salt","Mix well."", ""Press firmly into an 8 1/2 x 4 1/2 x 2 1/2-inch loaf pan."", ""Bake in preheated moderate oven."", ""Bake at 350\u00b0 for 1 hour."", ""Let stand 5 minutes before slicing."", ""Makes 8 servings.",False
Smothered Round Steak(Servings: 4)  ,"[""2 lb. round steak"", ""1/2 tsp. ground black pepper"", ""1 tsp. ground white pepper"", ""1/2 c. vegetable oil"", ""2 bell peppers, chopped"", ""1 c. beef stock or water"", ""2 tsp. salt"", ""1 tsp. ground red pepper"", ""all-purpose flour (dredging)"", ""3 medium onions, chopped"", ""1 celery rib, chopped""]","[""Alex Patout says, \""Smothering is a multipurpose Cajun technique that works wonders with everything from game to snap beans."", ""It's similar to what the rest of the world knows as braising."", ""The ingredients are briefly browned or sauteed, then cooked with a little liquid over a low heat for a long time.\""""]","2 lb. round steak"", ""1/2 tsp. ground black pepper"", ""1 tsp. ground white pepper"", ""1/2 c. vegetable oil"", ""2 bell peppers, chopped"", ""1 c. beef stock or water"", ""2 tsp. salt"", ""1 tsp. ground red pepper"", ""all-purpose flour (dredging)"", ""3 medium onions, chopped"", ""1 celery rib, chopped","Alex Patout says, \""Smothering is a multipurpose Cajun technique that works wonders with everything from game to snap beans."", ""It's similar to what the rest of the world knows as braising."", ""The ingredients are briefly browned or sauteed, then cooked with a little liquid over a low heat for a long time.\",False
Corral Barbecued Beef Steak Strips,"[""2 lb. round steak 1/2 to 3/4-inch thick, sliced in strips 1/8-inch thick (or thinner) and 3 1/2 to 4-inches long (easily sliced if partially frozen)"", ""2 Tbsp. cooking oil"", ""1 can (15 oz.) tomato sauce"", ""1/3 c. water"", ""2 Tbsp. brown sugar"", ""1 Tbsp. prepared mustard"", ""1 tbsp. Worcestershire sauce"", ""1 medium sized onion, thinly sliced""]","[""Brown strips in cooking oil."", ""Pour off drippings."", ""Combine tomato sauce, water, brown sugar, mustard and Worcestershire sauce."", ""Add sauce and onion to meat slices."", ""Cover and cook slowly, stirring occasionally 30 minutes or until meat is tender. Serve over rice or buttered noodles."", ""Yields 6 to 8 servings.""]","2 lb. round steak 1/2 to 3/4-inch thick, sliced in strips 1/8-inch thick (or thinner) and 3 1/2 to 4-inches long (easily sliced if partially frozen)"", ""2 Tbsp. cooking oil"", ""1 can (15 oz.) tomato sauce"", ""1/3 c. water"", ""2 Tbsp. brown sugar"", ""1 Tbsp. prepared mustard"", ""1 tbsp. Worcestershire sauce"", ""1 medium sized onion, thinly sliced","Brown strips in cooking oil."", ""Pour off drippings."", ""Combine tomato sauce, water, brown sugar, mustard and Worcestershire sauce."", ""Add sauce and onion to meat slices."", ""Cover and cook slowly, stirring occasionally 30 minutes or until meat is tender. Serve over rice or buttered noodles."", ""Yields 6 to 8 servings.",True
Easy Fudge,"[""1 (14 oz.) can sweetened condensed milk"", ""1 (12 oz.) pkg. semi-sweet chocolate chips"", ""1 (1 oz.) sq. unsweetened chocolate (if desired)"", ""1 1/2 c. chopped nuts (if desired)"", ""1 tsp. vanilla""]","[""Butter a square pan, 8 x 8 x 2-inches."", ""Heat milk, chocolate chips and unsweetened chocolate over low heat, stirring constantly, until chocolate is melted and mixture is smooth. Remove from heat."", ""Stir in nuts and vanilla."", ""Spread in pan.""]","1 (14 oz.) can sweetened condensed milk"", ""1 (12 oz.) pkg. semi-sweet chocolate chips"", ""1 (1 oz.) sq. unsweetened chocolate (if desired)"", ""1 1/2 c. chopped nuts (if desired)"", ""1 tsp. vanilla","Butter a square pan, 8 x 8 x 2-inches."", ""Heat milk, chocolate chips and unsweetened chocolate over low heat, stirring constantly, until chocolate is melted and mixture is smooth. Remove from heat."", ""Stir in nuts and vanilla."", ""Spread in pan.",True
